Название улицы,Длина,Начальные координаты,Конечные координаты
Абай даңғылы,129.543,"(71.387466, 42.8825885)","(71.3882194, 42.8815626)"
Абай даңғылы,28.48,"(71.387466, 42.8825885)","(71.3873049, 42.8828158)"
,17.784,"(71.387466, 42.8825885)","(71.3876726, 42.8826401)"
Абай даңғылы,23.103,"(71.3784987, 42.9010512)","(71.3785585, 42.9012543)"
Төле би даңғылы,22.109,"(71.3784987, 42.9010512)","(71.3787665, 42.9010188)"
Төле би даңғылы,9.562,"(71.3784987, 42.9010512)","(71.3783832, 42.9010666)"
Абай даңғылы,20.557,"(71.3784987, 42.9010512)","(71.378461, 42.9008684)"
Абай даңғылы,22.617,"(71.3799445, 42.902818)","(71.3797343, 42.9026851)"
Абай даңғылы,27.914,"(71.3799445, 42.902818)","(71.3802197, 42.9029676)"
Сүлейменов,20.868,"(71.3799445, 42.902818)","(71.379691, 42.9028452)"
Абай даңғылы,119.58,"(71.3982546, 42.9125622)","(71.3969016, 42.9121444)"
,48.808,"(71.3982546, 42.9125622)","(71.3988411, 42.9125734)"
Абая проспект,114.586,"(71.4036311, 42.9128457)","(71.4050352, 42.9129122)"
Абай даңғылы,121.343,"(71.4036311, 42.9128457)","(71.4021436, 42.9127825)"
Сыпатай Батыр,33.168,"(71.4036311, 42.9128457)","(71.4036715, 42.912549)"
Сыпатай Батыр,297.115,"(71.4036311, 42.9128457)","(71.4032548, 42.9155029)"
проспект Жамбылаект,30.059,"(71.4232914, 42.9218694)","(71.4229815, 42.9220163)"
проспект Жамбылаект,14.12,"(71.4232914, 42.9218694)","(71.4233988, 42.9217697)"
,20.362,"(71.3328506, 42.9299852)","(71.3330703, 42.9298977)"
,60.384,"(71.3328506, 42.9299852)","(71.3321659, 42.9301857)"
,100.283,"(71.3328506, 42.9299852)","(71.3320066, 42.9302108)"
,89.619,"(71.3408743, 42.9262085)","(71.3416243, 42.9267984)"
Сүлейменов,134.799,"(71.3408743, 42.9262085)","(71.342015, 42.9253299)"
,144.792,"(71.3408743, 42.9262085)","(71.3394269, 42.9269564)"
Сүлейменов,43.429,"(71.3630749, 42.908941)","(71.3627371, 42.9092432)"
Жамбыл даңғылы,7.835,"(71.3630749, 42.908941)","(71.3631541, 42.908981)"
Сүлейменов,132.178,"(71.3630749, 42.908941)","(71.3640996, 42.9080192)"
Жамбыл даңғылы,37.981,"(71.3630749, 42.908941)","(71.3627403, 42.9087034)"
Жамбыл даңғылы,179.163,"(71.3607744, 42.8915435)","(71.3606186, 42.8931507)"
Қонаев,85.778,"(71.3607744, 42.8915435)","(71.3618179, 42.8916465)"
Қонаев,231.033,"(71.3607744, 42.8915435)","(71.357964, 42.8912654)"
Жамбыл даңғылы,30.206,"(71.3599791, 42.9007264)","(71.3599466, 42.9004558)"
Жамбыл даңғылы,26.246,"(71.3599791, 42.9007264)","(71.3600466, 42.9009572)"
Төле би,76.03,"(71.3599791, 42.9007264)","(71.3590457, 42.90073)"
Төле би даңғылы,108.09400000000001,"(71.3599791, 42.9007264)","(71.3613059, 42.9007449)"
Рахимов көшесі,75.052,"(71.3611142, 42.9042269)","(71.3602131, 42.904368)"
Жамбыл даңғылы,10.568,"(71.3611142, 42.9042269)","(71.3611235, 42.9043217)"
Ниетқалиев,49.377,"(71.3611142, 42.9042269)","(71.361706, 42.9041306)"
Жамбыл даңғылы,19.643,"(71.3611142, 42.9042269)","(71.3610598, 42.9040548)"
Сәтбаев,57.625,"(71.3851013, 42.9198919)","(71.3848199, 42.9203674)"
Сәтбаев,51.877,"(71.3851013, 42.9198919)","(71.3853586, 42.9194651)"
Жамбыл даңғылы,66.433,"(71.3851013, 42.9198919)","(71.3858809, 42.920068)"
Жамбыл даңғылы,67.531,"(71.3851013, 42.9198919)","(71.3843024, 42.9197289)"
Бектұрғанов,37.465,"(71.3871709, 42.901195)","(71.3871837, 42.9015318)"
Төле би даңғылы,107.241,"(71.3871709, 42.901195)","(71.385976, 42.9008199)"
Төле би даңғылы,69.58,"(71.3871709, 42.901195)","(71.3879962, 42.9010849)"
улица Толе Би,58.334,"(71.3351952, 42.9015287)","(71.335911, 42.9015455)"
Төле Би,262.73,"(71.3351952, 42.9015287)","(71.3319735, 42.9016323)"
Тәуке хан,537.119,"(71.3351952, 42.9015287)","(71.3293086, 42.8998077)"
Балуан Шолақ,49.239,"(71.400733, 42.8823771)","(71.4011032, 42.8827271)"
Балуан Шолақ,26.858,"(71.400733, 42.8823771)","(71.4005357, 42.8821836)"
,58.032,"(71.400733, 42.8823771)","(71.4000679, 42.8825638)"
Жібек Жолы,177.602,"(71.400733, 42.8823771)","(71.4024264, 42.8813728)"
Қонаев,17.988,"(71.3793796, 42.8933914)","(71.3791627, 42.8933611)"
Абай даңғылы,27.857,"(71.3793796, 42.8933914)","(71.3795648, 42.8931808)"
Абай даңғылы,44.324,"(71.3793796, 42.8933914)","(71.3791054, 42.8937357)"
Сейфуллин,127.057,"(71.3544091, 42.8878181)","(71.3533984, 42.8869479)"
Сейфуллин,20.22,"(71.3544091, 42.8878181)","(71.3545743, 42.8879538)"
Рысқұлов,46.878,"(71.3544091, 42.8878181)","(71.3539919, 42.8881074)"
Абай даңғылы,31.706,"(71.4003516, 42.8464202)","(71.4004034, 42.8467028)"
Ахмет Байтұрсынов көшесі,41.679,"(71.4003516, 42.8464202)","(71.3999365, 42.846639)"
Абай даңғылы,65.09700000000001,"(71.4003516, 42.8464202)","(71.4002378, 42.8458409)"
Абай даңғылы,174.127,"(71.4013251, 42.8602198)","(71.4011154, 42.8617782)"
Абая проспект,50.128,"(71.4013251, 42.8602198)","(71.4007277, 42.8601127)"
Абай даңғылы,432.40099999999995,"(71.4013251, 42.8602198)","(71.402159, 42.8564326)"
Абай даңғылы,16.29,"(71.3995457, 42.8655579)","(71.3996412, 42.8654292)"
Абай даңғылы,217.422,"(71.3995457, 42.8655579)","(71.3983332, 42.8672996)"
Аппаева,432.984,"(71.3995457, 42.8655579)","(71.3942529, 42.8657296)"
Жамбыл даңғылы,99.597,"(71.3604153, 42.8950416)","(71.360347, 42.8959359)"
Жамбыл даңғылы,88.823,"(71.3604153, 42.8950416)","(71.360505, 42.8942455)"
Әйтеке би,82.88,"(71.3604153, 42.8950416)","(71.361431, 42.8950848)"
Әйтеке би,16.018,"(71.3604153, 42.8950416)","(71.3602195, 42.8950284)"
Казыбек Би,21.408,"(71.3780914, 42.8965795)","(71.3783537, 42.8965676)"
Абай даңғылы,7.764,"(71.3780914, 42.8965795)","(71.3780891, 42.8965097)"
Абай даңғылы,25.397,"(71.3780914, 42.8965795)","(71.3781044, 42.8968077)"
Қазыбек Би,29.123,"(71.3815391, 42.896784)","(71.3818529, 42.8966585)"
Казыбек Би,104.266,"(71.3815391, 42.896784)","(71.3807364, 42.8974418)"
Қазыбек Би,53.024,"(71.3824829, 42.8963919)","(71.3830571, 42.8961673)"
Қазыбек Би,59.266,"(71.3824829, 42.8963919)","(71.3818529, 42.8966585)"
,112.273,"(71.3824829, 42.8963919)","(71.3831305, 42.8972832)"
Казыбек Би,16.489,"(71.3824829, 42.8963919)","(71.3823962, 42.8962579)"
Әйтеке би,17.703,"(71.3780696, 42.8957835)","(71.3778524, 42.8957889)"
Абай даңғылы,80.765,"(71.3780696, 42.8957835)","(71.3780891, 42.8965097)"
Абай даңғылы,53.272999999999996,"(71.3780696, 42.8957835)","(71.3782146, 42.8953177)"
Желтоқсан,17.157,"(71.3693343, 42.9047472)","(71.369244, 42.9046078)"
Желтоқсан,12.919,"(71.3693343, 42.9047472)","(71.3694214, 42.9048443)"
Сүлейменов,67.961,"(71.3693343, 42.9047472)","(71.3686596, 42.9051068)"
Сүлейменов,14.938,"(71.3693343, 42.9047472)","(71.3694843, 42.9046699)"
Желтоқсан,84.888,"(71.3837492, 42.9099499)","(71.3828448, 42.9095704)"
Туйебекова,76.224,"(71.3837492, 42.9099499)","(71.3846548, 42.910123)"
Асқаров,163.737,"(71.3837492, 42.9099499)","(71.3829906, 42.9113132)"
Асқаров,145.594,"(71.3837492, 42.9099499)","(71.3846833, 42.9088359)"
Асқаров,15.012,"(71.3862278, 42.9072483)","(71.3860951, 42.907342)"
Абай даңғылы,148.861,"(71.3862278, 42.9072483)","(71.3850565, 42.9062206)"
Абай даңғылы,75.499,"(71.3862278, 42.9072483)","(71.3867581, 42.9078052)"
Асқаров,8.938,"(71.3862278, 42.9072483)","(71.3862999, 42.9071877)"
Байтасов,37.483,"(71.3912173, 42.9025104)","(71.3915403, 42.9027505)"
Байтасов,81.52,"(71.3912173, 42.9025104)","(71.3904778, 42.9020164)"
Асқаров,261.206,"(71.3912173, 42.9025104)","(71.3892954, 42.9043909)"
Қойгелді,14.027,"(71.3665438, 42.9062524)","(71.3666092, 42.9063691)"
Қойгелді,25.044,"(71.3665438, 42.9062524)","(71.3664979, 42.9060297)"
Сүлейменов,23.906,"(71.3665438, 42.9062524)","(71.366301, 42.9063732)"
Сүлейменов,53.06,"(71.3665438, 42.9062524)","(71.36706, 42.9059613)"
Қойгелді,91.371,"(71.3656784, 42.9034959)","(71.3654048, 42.902699)"
Ниетқалиев,87.489,"(71.3656784, 42.9034959)","(71.364629, 42.9036638)"
Қойгелді,78.118,"(71.3656784, 42.9034959)","(71.3658943, 42.9041804)"
,19.271,"(71.3656784, 42.9034959)","(71.3658893, 42.9034174)"
Төле би даңғылы,36.006,"(71.3838348, 42.9005431)","(71.3833936, 42.9005231)"
Ыбыраева,22.383,"(71.3838348, 42.9005431)","(71.383882, 42.9003448)"
Төле би даңғылы,92.483,"(71.3838348, 42.9005431)","(71.3849583, 42.9006514)"
Самаркандская,102.525,"(71.392454, 42.8759696)","(71.3913755, 42.8755375)"
Самаркандская,258.08299999999997,"(71.392454, 42.8759696)","(71.3936819, 42.8738616)"
Самаркандская,125.292,"(71.392454, 42.8759696)","(71.3936279, 42.8766544)"
Қазыбек Би,66.54,"(71.3876812, 42.8949404)","(71.3868644, 42.8949447)"
Байзақ Батыр,122.619,"(71.3876812, 42.8949404)","(71.3873899, 42.8960174)"
Казыбек Би,102.593,"(71.3876812, 42.8949404)","(71.3889403, 42.8949308)"
Байзақ Батыр,98.845,"(71.3876812, 42.8949404)","(71.3881653, 42.8941327)"
Бектұрғанов,110.549,"(71.3892954, 42.9043909)","(71.3882765, 42.9037341)"
Асқаров,161.053,"(71.3892954, 42.9043909)","(71.3880908, 42.9055395)"
Асқаров,261.206,"(71.3892954, 42.9043909)","(71.3912173, 42.9025104)"
Бектұрғанов,118.679,"(71.3892954, 42.9043909)","(71.39051, 42.9049767)"
Қонаев,46.035,"(71.3737546, 42.892774)","(71.3731943, 42.8927202)"
Қонаев,70.136,"(71.3737546, 42.892774)","(71.3746071, 42.8928621)"
Әйтиев,173.259,"(71.3737546, 42.892774)","(71.3735598, 42.8943256)"
Әйтиев,71.01,"(71.3737546, 42.892774)","(71.3738496, 42.8921392)"
Комратов,104.863,"(71.3691647, 42.87728)","(71.3700344, 42.8765849)"
Комратов,97.359,"(71.3691647, 42.87728)","(71.3683853, 42.877941)"
Смоленская,263.717,"(71.3691647, 42.87728)","(71.36605, 42.8767843)"
Батыр,99.55,"(71.3849559, 42.9328679)","(71.3860073, 42.9324108)"
,109.321,"(71.3849559, 42.9328679)","(71.3838524, 42.9334281)"
Иманалиев,182.706,"(71.3849559, 42.9328679)","(71.3838386, 42.9314429)"
Иманалиева,333.86800000000005,"(71.3849559, 42.9328679)","(71.388858, 42.9335864)"
Қойгелді,19.225,"(71.3647754, 42.9008795)","(71.3648339, 42.901047)"
Қойгелді,28.125,"(71.3647754, 42.9008795)","(71.3647576, 42.9006269)"
Төле би даңғылы,66.956,"(71.3647754, 42.9008795)","(71.3639547, 42.9008455)"
Төле би даңғылы,73.921,"(71.3647754, 42.9008795)","(71.3656816, 42.9009154)"
Кенен Әзірбаев,130.427,"(71.3889727, 42.9335794)","(71.3897188, 42.9346174)"
Иманалиева,9.37,"(71.3889727, 42.9335794)","(71.388858, 42.9335864)"
Байтасов,81.52,"(71.3904778, 42.9020164)","(71.3912173, 42.9025104)"
Пушкин,26.491999999999997,"(71.3904778, 42.9020164)","(71.3906134, 42.9018004)"
Кенен Әзірбаев,87.329,"(71.3893425, 42.9315892)","(71.3891979, 42.9323674)"
Кенен Әзірбаев,246.948,"(71.3893425, 42.9315892)","(71.3897209, 42.9293857)"
Комратов,56.133,"(71.3660218, 42.8818827)","(71.3658068, 42.8823623)"
,151.428,"(71.3660218, 42.8818827)","(71.3643692, 42.8812597)"
Комратов,194.331,"(71.3660218, 42.8818827)","(71.3669636, 42.8802784)"
Байзақ Батыр,57.867,"(71.3757997, 42.8707627)","(71.376439, 42.8709892)"
Байзақ батыр,100.412,"(71.3757997, 42.8707627)","(71.3746833, 42.8703806)"
Комратов,246.852,"(71.3757997, 42.8707627)","(71.3742229, 42.872658)"
Самарқанд көшесі,35.773,"(71.4051309, 42.8796904)","(71.4047856, 42.8794958)"
Жібек Жолы,186.64600000000002,"(71.4051309, 42.8796904)","(71.4033456, 42.8807417)"
Жібек Жолы,85.949,"(71.4051309, 42.8796904)","(71.4060084, 42.8792658)"
Демьяна Бедного,92.855,"(71.4006578, 42.8654839)","(71.4007569, 42.864652)"
Демьяна Бедного,53.384,"(71.4006578, 42.8654839)","(71.4006179, 42.8659631)"
Аппаева,83.813,"(71.4006578, 42.8654839)","(71.3996412, 42.8654292)"
Бектұрғанов,110.549,"(71.3882765, 42.9037341)","(71.3892954, 42.9043909)"
Пушкин,127.003,"(71.3882765, 42.9037341)","(71.3893212, 42.9028862)"
Бектұрғанов,189.114,"(71.3882765, 42.9037341)","(71.3872053, 42.9022823)"
Пушкин,106.763,"(71.3906134, 42.9018004)","(71.3915338, 42.9011168)"
Байтасов көшесі,158.202,"(71.3906134, 42.9018004)","(71.3900508, 42.9004604)"
Пушкин,26.491999999999997,"(71.3906134, 42.9018004)","(71.3904778, 42.9020164)"
Байзақ Батыр,13.694,"(71.3879962, 42.9010849)","(71.3879269, 42.9009727)"
Төле би даңғылы,42.863,"(71.3879962, 42.9010849)","(71.3884866, 42.9009451)"
,63.059,"(71.3879962, 42.9010849)","(71.3884866, 42.9009451)"
Төле би даңғылы,69.58,"(71.3879962, 42.9010849)","(71.3871709, 42.901195)"
Аппаева,103.336,"(71.3942529, 42.8657296)","(71.3930833, 42.8653708)"
Сыздықов көшесі,148.848,"(71.3942529, 42.8657296)","(71.3948285, 42.8644592)"
Сыздықов көшесі,58.36,"(71.3942529, 42.8657296)","(71.3940122, 42.8662239)"
Аппаева,432.984,"(71.3942529, 42.8657296)","(71.3995457, 42.8655579)"
Төле би даңғылы,4.744,"(71.3900508, 42.9004604)","(71.389998, 42.9004784)"
Төле би даңғылы,15.427,"(71.3900508, 42.9004604)","(71.3902242, 42.9004046)"
Байтасов көшесі,158.202,"(71.3900508, 42.9004604)","(71.3906134, 42.9018004)"
Төле би даңғылы,156.839,"(71.3764034, 42.9012612)","(71.3783122, 42.9010758)"
,28.912,"(71.3764034, 42.9012612)","(71.3763998, 42.9010012)"
Төле би даңғылы,59.649,"(71.3764034, 42.9012612)","(71.3756725, 42.9012771)"
Асимов,387.984,"(71.3903288, 42.9355255)","(71.3860893, 42.9371196)"
Асимов,418.24699999999996,"(71.3903288, 42.9355255)","(71.3918294, 42.9324804)"
Абай даңғылы,15.915,"(71.3918896, 42.8764761)","(71.3917877, 42.8765982)"
Балуан Шолақ,315.632,"(71.3918896, 42.8764761)","(71.3950887, 42.8780764)"
Самаркандская,92.024,"(71.3936279, 42.8766544)","(71.3947467, 42.8767671)"
Говорова,317.08700000000005,"(71.3936279, 42.8766544)","(71.3967556, 42.8782822)"
Самаркандская,125.292,"(71.3936279, 42.8766544)","(71.392454, 42.8759696)"
Аппаева,11.766,"(71.3903859, 42.8645476)","(71.3905187, 42.8645891)"
Аппаева,39.29,"(71.3903859, 42.8645476)","(71.3899491, 42.8646971)"
Приманова,213.36199999999997,"(71.3903859, 42.8645476)","(71.3913134, 42.8627604)"
Демьяна Бедного,5.795,"(71.4000784, 42.8735202)","(71.4000345, 42.8734792)"
Космодемьянская,368.59700000000004,"(71.4000784, 42.8735202)","(71.4015101, 42.8766516)"
Демьяна Бедного,145.776,"(71.4000784, 42.8735202)","(71.3992479, 42.8746813)"
Байзақ Батыр,58.182,"(71.3770818, 42.8712169)","(71.376439, 42.8709892)"
Байзақ Батыр,63.55,"(71.3770818, 42.8712169)","(71.3777034, 42.871562)"
Привокзальная улица,97.205,"(71.3770818, 42.8712169)","(71.3777981, 42.8705179)"
Сәтбаев,228.441,"(71.3808991, 42.9274036)","(71.3819189, 42.9254897)"
Койбакова,61.201,"(71.3808991, 42.9274036)","(71.3806481, 42.9279224)"
Иманалиев,16.032,"(71.3808991, 42.9274036)","(71.380909, 42.9275476)"
Әйтиев,29.37,"(71.3730609, 42.9011778)","(71.3730912, 42.9009146)"
Төле би даңғылы,36.976,"(71.3730609, 42.9011778)","(71.3726078, 42.9011575)"
Төле би даңғылы,14.975,"(71.3730609, 42.9011778)","(71.3732444, 42.901186)"
Аппаева,64.406,"(71.3923538, 42.8651481)","(71.3930833, 42.8653708)"
Аппаева,55.698,"(71.3923538, 42.8651481)","(71.3917185, 42.8649635)"
Патриса Лумумбы,97.218,"(71.3923538, 42.8651481)","(71.3926143, 42.8642949)"
Патриса Лумумбы,812.288,"(71.3923538, 42.8651481)","(71.3837335, 42.8687123)"
Қонаев,26.579,"(71.3628545, 42.8917368)","(71.3625307, 42.8917075)"
Қонаев,24.477,"(71.3628545, 42.8917368)","(71.3631542, 42.8917524)"
Комратов,201.778,"(71.3628545, 42.8917368)","(71.3634124, 42.8899688)"
Байзақ Батыр,118.481,"(71.3867249, 42.8798285)","(71.3860937, 42.8788686)"
Байзақ Батыр,72.594,"(71.3867249, 42.8798285)","(71.3872066, 42.8803777)"
,118.25200000000001,"(71.3867249, 42.8798285)","(71.38695, 42.8790009)"
Әйтеке би,173.099,"(71.3734964, 42.8955707)","(71.3756174, 42.8956653)"
Әйтеке би,111.515,"(71.3734964, 42.8955707)","(71.3721293, 42.8955187)"
Әйтиев,27.881,"(71.3734964, 42.8955707)","(71.3734815, 42.8958212)"
Әйтиев,42.92,"(71.3734964, 42.8955707)","(71.37352, 42.8951851)"
Батыр,105.479,"(71.3880473, 42.9315659)","(71.3893425, 42.9315892)"
Олжабаев,150.552,"(71.3880473, 42.9315659)","(71.3880323, 42.930212)"
Мәңгілік ел көшесі,76.142,"(71.3618414, 42.9190722)","(71.3611378, 42.9186212)"
Көшек Батыр,266.521,"(71.3618414, 42.9190722)","(71.3640632, 42.9173122)"
Мәңгілік ел көшесі,128.661,"(71.3618414, 42.9190722)","(71.3630042, 42.9198556)"
Көшек Батыр,646.313,"(71.3618414, 42.9190722)","(71.3575178, 42.923914)"
Әйтеке би,80.048,"(71.3652229, 42.895223)","(71.3662044, 42.8952578)"
Әйтеке би,250.75,"(71.3652229, 42.895223)","(71.3621498, 42.895094)"
Қойгелді,62.46,"(71.3652229, 42.895223)","(71.3651768, 42.8957837)"
Қойгелді,103.123,"(71.3652229, 42.895223)","(71.3652846, 42.8942967)"
Сыпатай Батыр,43.992,"(71.40545, 42.8988003)","(71.4054075, 42.8991947)"
Сыпатай Батыр,11.055,"(71.40545, 42.8988003)","(71.4054639, 42.8987014)"
Төле Би,24.946,"(71.40545, 42.8988003)","(71.4051466, 42.8987698)"
Ниетқалиев,89.789,"(71.3531214, 42.9080963)","(71.352188, 42.908526)"
Ниетқалиев,190.121,"(71.3531214, 42.9080963)","(71.3550714, 42.9071564)"
Ұлбике ақын,93.246,"(71.3531214, 42.9080963)","(71.3539373, 42.9086846)"
Ұлбике ақын,139.304,"(71.3531214, 42.9080963)","(71.3524047, 42.9069588)"
Ұлбике ақын,22.724,"(71.3515808, 42.9010201)","(71.3515741, 42.9012244)"
Төле би,33.308,"(71.3515808, 42.9010201)","(71.3511722, 42.9010319)"
Төле би,55.293,"(71.3515808, 42.9010201)","(71.3522566, 42.9009732)"
Сыпатай Батыр,63.957,"(71.4052136, 42.9009925)","(71.4051536, 42.901566)"
Сыпатай Батыр,71.22,"(71.4052136, 42.9009925)","(71.4052825, 42.900354)"
Жас дәурен көшесі,166.031,"(71.4052136, 42.9009925)","(71.4031821, 42.9008703)"
Ұлбике ақын,136.628,"(71.3516876, 42.905848)","(71.3524047, 42.9069588)"
Рахимов көшесі,40.967,"(71.3516876, 42.905848)","(71.3511971, 42.9059296)"
Рахимов көшесі,48.033,"(71.3516876, 42.905848)","(71.3522646, 42.9057587)"
Ұлбике ақын,53.411,"(71.3516876, 42.905848)","(71.351657, 42.9053703)"
Көшек Батыр,200.642,"(71.3701506, 42.9125747)","(71.3718795, 42.9112892)"
Жамбыл даңғылы,164.084,"(71.3701506, 42.9125747)","(71.3718123, 42.9134092)"
Жамбыл даңғылы,77.719,"(71.3701506, 42.9125747)","(71.3693804, 42.912162)"
Көшек Батыр,91.792,"(71.3701506, 42.9125747)","(71.3693839, 42.9131798)"
Жамбыл даңғылы,152.158,"(71.3796151, 42.9175523)","(71.3811455, 42.9183374)"
Жамбыл даңғылы,237.956,"(71.3796151, 42.9175523)","(71.3772153, 42.9163313)"
Асқаров,102.714,"(71.3796151, 42.9175523)","(71.3793863, 42.9184607)"
Асқаров,260.831,"(71.3796151, 42.9175523)","(71.3801416, 42.9152385)"
Ниетқалиев,116.16,"(71.3439518, 42.9124475)","(71.3451197, 42.9118478)"
Аппасов,39.269,"(71.3439518, 42.9124475)","(71.3442238, 42.9127391)"
Аппасов,53.034,"(71.3439518, 42.9124475)","(71.3435166, 42.9120927)"
Ниетқалиев,104.019,"(71.3439518, 42.9124475)","(71.3428596, 42.9129325)"
Жамбыл даңғылы,29.39,"(71.3833317, 42.9194703)","(71.3836658, 42.9195703)"
Жамбыл даңғылы,122.744,"(71.3833317, 42.9194703)","(71.3821113, 42.9188224)"
Сухамбаев,260.926,"(71.3833317, 42.9194703)","(71.3847538, 42.9173675)"
Сухамбаев,258.815,"(71.3833317, 42.9194703)","(71.3817507, 42.9214895)"
Көшек Батыр,105.412,"(71.3738169, 42.9097195)","(71.3729516, 42.9104245)"
Қойгелді,183.164,"(71.3738169, 42.9097195)","(71.3756904, 42.9106308)"
Қойгелді,215.961,"(71.3738169, 42.9097195)","(71.371569, 42.9086893)"
Көшек Батыр,148.589,"(71.3738169, 42.9097195)","(71.3749342, 42.908664)"
Иманалиев,8.133,"(71.3813911, 42.9280953)","(71.3814382, 42.9281598)"
Иманалиев,43.326,"(71.3813911, 42.9280953)","(71.3811028, 42.9277678)"
,353.802,"(71.3813911, 42.9280953)","(71.3848198, 42.9276681)"
Әйтеке би,46.132,"(71.3682697, 42.8953691)","(71.3688354, 42.8953883)"
Әйтеке би,59.752,"(71.3682697, 42.8953691)","(71.3675374, 42.8953383)"
Желтоқсан,94.149,"(71.3682697, 42.8953691)","(71.3681965, 42.8962141)"
Желтоқсан,91.045,"(71.3682697, 42.8953691)","(71.3683475, 42.8945523)"
,298.016,"(71.3848198, 42.9276681)","(71.3864762, 42.9300581)"
,353.802,"(71.3848198, 42.9276681)","(71.3813911, 42.9280953)"
,333.384,"(71.3848198, 42.9276681)","(71.3839038, 42.9251318)"
Қонаев,104.965,"(71.3685814, 42.8922703)","(71.3673049, 42.892142)"
Қонаев,209.415,"(71.3685814, 42.8922703)","(71.3711303, 42.8925145)"
Желтоқсан,41.109,"(71.3685814, 42.8922703)","(71.3685316, 42.8926382)"
Желтоқсан,75.728,"(71.3685814, 42.8922703)","(71.3687968, 42.8916078)"
Қазыбек Би,31.677999999999997,"(71.393333, 42.8948381)","(71.3929522, 42.8947902)"
Казыбек Би,41.144999999999996,"(71.393333, 42.8948381)","(71.393795, 42.8949817)"
Казыбек би,51.315000000000005,"(71.393333, 42.8948381)","(71.3939539, 42.8947606)"
Есей би,166.235,"(71.393333, 42.8948381)","(71.3931595, 42.8933799)"
Ташкент,163.197,"(71.393333, 42.8948381)","(71.3921266, 42.8936957)"
1-ші Сыздықов тұйық көшесі,159.745,"(71.3961448, 42.8703335)","(71.3980538, 42.8706597)"
Абай даңғылы,253.754,"(71.3961448, 42.8703335)","(71.3975805, 42.8683085)"
Абай даңғылы,102.505,"(71.3961448, 42.8703335)","(71.3955757, 42.8711556)"
1-ші Сыздықов тұйық көшесі,314.554,"(71.3961448, 42.8703335)","(71.3924339, 42.8695574)"
,298.016,"(71.3864762, 42.9300581)","(71.3848198, 42.9276681)"
Ташкент,12.177,"(71.381858, 42.8904216)","(71.3819907, 42.890472)"
Ташкент,13.364,"(71.381858, 42.8904216)","(71.3817719, 42.8903193)"
Абай даңғылы,11.845,"(71.381858, 42.8904216)","(71.3819284, 42.8903284)"
Абай даңғылы,10.789,"(71.381858, 42.8904216)","(71.3817972, 42.8905078)"
Ақкөзиев,12.598,"(71.397482, 42.8957649)","(71.3974824, 42.8958782)"
Аққозиев,58.736000000000004,"(71.397482, 42.8957649)","(71.3979483, 42.8953638)"
Қазыбек Би,18.485,"(71.3782233, 42.8980953)","(71.3779964, 42.8980976)"
Абай даңғылы,23.27,"(71.3782233, 42.8980953)","(71.3781973, 42.8978869)"
Абай даңғылы,13.138,"(71.3782233, 42.8980953)","(71.3782315, 42.8982133)"
Әйтиев,190.947,"(71.3817455, 42.8816847)","(71.3800784, 42.8828916)"
Әйтиев,193.46,"(71.3817455, 42.8816847)","(71.3833711, 42.8804166)"
Петрова,89.348,"(71.3817455, 42.8816847)","(71.3825323, 42.8822444)"
Петрова,78.827,"(71.3817455, 42.8816847)","(71.3810287, 42.8812086)"
Рахимова 2 проезд,114.062,"(71.3466627, 42.9046448)","(71.3468046, 42.9056653)"
,60.364,"(71.3466627, 42.9046448)","(71.3465828, 42.9041051)"
,99.061,"(71.3466627, 42.9046448)","(71.3454562, 42.9047573)"
Әйтиев,8.426,"(71.3860937, 42.8788686)","(71.3860128, 42.8789158)"
Байзақ Батыр,172.671,"(71.3860937, 42.8788686)","(71.3851105, 42.877493)"
Байзақ Батыр,118.481,"(71.3860937, 42.8788686)","(71.3867249, 42.8798285)"
Қойгелді,79.319,"(71.3650021, 42.8976202)","(71.3649552, 42.8983327)"
Қойгелді,59.65,"(71.3650021, 42.8976202)","(71.36505, 42.8970849)"
Қазыбек Би,109.085,"(71.3650021, 42.8976202)","(71.3663381, 42.8976875)"
Қазыбек Би,56.13,"(71.3650021, 42.8976202)","(71.3643135, 42.8976018)"
Әйтиев,149.799,"(71.3742746, 42.8899924)","(71.374778, 42.8886967)"
Дулати,211.567,"(71.3742746, 42.8899924)","(71.3719289, 42.889176)"
Дулати,214.342,"(71.3742746, 42.8899924)","(71.3766804, 42.8907727)"
Әйтиев,89.208,"(71.3742746, 42.8899924)","(71.374069, 42.8907804)"
Қадырғали Жалайыри,72.903,"(71.3483307, 42.9064036)","(71.3486903, 42.907004)"
Рахимов көшесі,25.916,"(71.3483307, 42.9064036)","(71.3480221, 42.9064604)"
Рахимов көшесі,75.609,"(71.3483307, 42.9064036)","(71.349238, 42.9062597)"
Казыбек би 2 переулок,6.102,"(71.3807312, 42.8919071)","(71.3807839, 42.8919461)"
Абай даңғылы,104.893,"(71.3807312, 42.8919071)","(71.3813471, 42.8910787)"
Абай даңғылы,9.751,"(71.3807312, 42.8919071)","(71.3806694, 42.8919822)"
Әйтиев,69.103,"(71.375186, 42.887711)","(71.375476, 42.887127)"
Әйтиев,114.535,"(71.375186, 42.887711)","(71.374778, 42.8886967)"
Еспаев,329.645,"(71.375186, 42.887711)","(71.3715417, 42.8864234)"
Әйтиев,14.012,"(71.3733387, 42.8979861)","(71.3733266, 42.8981118)"
